year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2006,2007,79,CINEMATOGRAPHY,CINEMATOGRAPHY,Guillermo Navarro,Pan's Labyrinth,True
2006,2007,79,COSTUME DESIGN,COSTUME DESIGN,Consolata Boyle,The Queen,False
2006,2007,79,DIRECTING,DIRECTING,Alejandro González Iñárritu,Babel,False
2006,2007,79,DIRECTING,DIRECTING,Martin Scorsese,The Departed,True
2006,2007,79,DIRECTING,DIRECTING,Stephen Frears,The Queen,False
2006,2007,79,FILM EDITING,FILM EDITING,Stephen Mirrione/Douglas Crise,Babel,False
2006,2007,79,FILM EDITING,FILM EDITING,Thelma Schoonmaker,The Departed,True
2006,2007,79,FOREIGN LANGUAGE FILM,INTERNATIONAL FEATURE FILM,Germany,The Lives of Others,True
2006,2007,79,FOREIGN LANGUAGE FILM,INTERNATIONAL FEATURE FILM,Mexico,Pan's Labyrinth,False
2006,2007,79,MAKEUP,MAKEUP AND HAIRSTYLING,Kazuhiro Tsuji/Bill Corso,Click,False
2006,2007,79,MAKEUP,MAKEUP AND HAIRSTYLING,David Martí/Montse Ribé,Pan's Labyrinth,True
2006,2007,79,MUSIC (Original Score),MUSIC (Original Score),Gustavo Santaolalla,Babel,True
2006,2007,79,MUSIC (Original Score),MUSIC (Original Score),Javier Navarrete,Pan's Labyrinth,False
2006,2007,79,MUSIC (Original Score),MUSIC (Original Score),Alexandre Desplat,The Queen,False
2006,2007,79,BEST PICTURE,BEST PICTURE,Alejandro González Iñárritu/Jon Kilik/Steve Golin,Babel,False
2006,2007,79,BEST PICTURE,BEST PICTURE,Graham King,The Departed,True
2006,2007,79,BEST PICTURE,BEST PICTURE,Andy Harries/Christine Langan/Tracey Seaward,The Queen,False
2006,2007,79,VISUAL EFFECTS,VISUAL EFFECTS,Boyd Shermis/Kim Libreri/Chas Jarrett/John Frazier,Poseidon,False
2006,2007,79,VISUAL EFFECTS,VISUAL EFFECTS,Mark Stetson/Neil Corbould/Richard R. Hoover/Jon Thum,Superman Returns,False
2006,2007,79,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),William Monahan,The Departed,True
2006,2007,79,WRITING (Original Screenplay),WRITING (Original Screenplay),Guillermo Arriaga,Babel,False
2006,2007,79,WRITING (Original Screenplay),WRITING (Original Screenplay),Guillermo del Toro,Pan's Labyrinth,False
2006,2007,79,WRITING (Original Screenplay),WRITING (Original Screenplay),Peter Morgan,The Queen,False
2007,2008,80,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,There Will Be Blood,True
2007,2008,80,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Hal Holbrook,Into the Wild,False
2007,2008,80,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Ash Brannon/Chris Buck,Surf's Up,False
2007,2008,80,ART DIRECTION,ART DIRECTION,Jack Fisk/Jim Erickson,There Will Be Blood,False
2007,2008,80,CINEMATOGRAPHY,CINEMATOGRAPHY,Robert Elswit,There Will Be Blood,True
2007,2008,80,COSTUME DESIGN,COSTUME DESIGN,Albert Wolsky,Across the Universe,False
2007,2008,80,DIRECTING,DIRECTING,Paul Thomas Anderson,There Will Be Blood,False
2007,2008,80,FILM EDITING,FILM EDITING,Jay Cassidy,Into the Wild,False
2007,2008,80,FILM EDITING,FILM EDITING,Dylan Tichenor,There Will Be Blood,False
2007,2008,80,BEST PICTURE,BEST PICTURE,JoAnne Sellar/Paul Thomas Anderson/Daniel Lupi,There Will Be Blood,False
2007,2008,80,SOUND EDITING,SOUND EDITING,Christopher Scarabosio/Matthew Wood,There Will Be Blood,False
2007,2008,80,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Paul Thomas Anderson,There Will Be Blood,False
2008,2009,81,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Sean Penn,Milk,True
2008,2009,81,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Josh Brolin,Milk,False
2008,2009,81,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Philip Seymour Hoffman,Doubt,False
2008,2009,81,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Michael Shannon,Revolutionary Road,False
2008,2009,81,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Anne Hathaway,Rachel Getting Married,False
2008,2009,81,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Melissa Leo,Frozen River,False
2008,2009,81,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Meryl Streep,Doubt,False
2008,2009,81,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Amy Adams,Doubt,False
2008,2009,81,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Viola Davis,Doubt,False
2008,2009,81,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Chris Williams/Byron Howard,Bolt,False
2008,2009,81,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,John Stevenson/Mark Osborne,Kung Fu Panda,False
2008,2009,81,ART DIRECTION,ART DIRECTION,Michael Carlin/Rebecca Alleway,The Duchess,False
2008,2009,81,ART DIRECTION,ART DIRECTION,Kristi Zea/Debra Schutt,Revolutionary Road,False
2008,2009,81,COSTUME DESIGN,COSTUME DESIGN,Michael O'Connor,The Duchess,True
2008,2009,81,COSTUME DESIGN,COSTUME DESIGN,Danny Glicker,Milk,False
2008,2009,81,COSTUME DESIGN,COSTUME DESIGN,Albert Wolsky,Revolutionary Road,False
2008,2009,81,DIRECTING,DIRECTING,Gus Van Sant,Milk,False
2008,2009,81,FILM EDITING,FILM EDITING,Elliot Graham,Milk,False
2008,2009,81,MUSIC (Original Score),MUSIC (Original Score),James Newton Howard,Defiance,False
2008,2009,81,MUSIC (Original Score),MUSIC (Original Score),Danny Elfman,Milk,False
2008,2009,81,BEST PICTURE,BEST PICTURE,Dan Jinks/Bruce Cohen,Milk,False
2008,2009,81,SOUND EDITING,SOUND EDITING,Wylie Stateman,Wanted,False
2008,2009,81,SOUND MIXING,SOUND MIXING,Chris Jenkins/Frank A. Montaño/Petr Forejt,Wanted,False
2008,2009,81,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),John Patrick Shanley,Doubt,False
2008,2009,81,WRITING (Original Screenplay),WRITING (Original Screenplay),Courtney Hunt,Frozen River,False
2008,2009,81,WRITING (Original Screenplay),WRITING (Original Screenplay),Dustin Lance Black,Milk,True
2009,2010,82,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,George Clooney,Up in the Air,False
2009,2010,82,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Colin Firth,A Single Man,False
2009,2010,82,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Morgan Freeman,Invictus,False
2009,2010,82,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Matt Damon,Invictus,False
2009,2010,82,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Stanley Tucci,The Lovely Bones,False
2009,2010,82,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Inglourious Basterds,True
2009,2010,82,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Meryl Streep,Julie & Julia,False
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Vera Farmiga,Up in the Air,False
2009,2010,82,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Anna Kendrick,Up in the Air,False
2009,2010,82,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Henry Selick,Coraline,False
2009,2010,82,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,John Musker/Ron Clements,The Princess and the Frog,False
2009,2010,82,ART DIRECTION,ART DIRECTION,Dave Warren/Anastasia Masaro/Caroline Smith,The Imaginarium of Doctor Parnassus,False
2009,2010,82,ART DIRECTION,ART DIRECTION,Sarah Greenwood/Katie Spencer,Sherlock Holmes,False
2009,2010,82,CINEMATOGRAPHY,CINEMATOGRAPHY,Robert Richardson,Inglourious Basterds,False
2009,2010,82,COSTUME DESIGN,COSTUME DESIGN,Janet Patterson,Bright Star,False
2009,2010,82,COSTUME DESIGN,COSTUME DESIGN,Monique Prudhomme,The Imaginarium of Doctor Parnassus,False
2009,2010,82,DIRECTING,DIRECTING,Quentin Tarantino,Inglourious Basterds,False
2009,2010,82,DIRECTING,DIRECTING,Jason Reitman,Up in the Air,False
2009,2010,82,FILM EDITING,FILM EDITING,Julian Clarke,District 9,False
2009,2010,82,FILM EDITING,FILM EDITING,Sally Menke,Inglourious Basterds,False
2009,2010,82,MAKEUP,MAKEUP AND HAIRSTYLING,Barney Burman/Mindy Hall/Joel Harlow,Star Trek,True
2009,2010,82,MUSIC (Original Score),MUSIC (Original Score),Hans Zimmer,Sherlock Holmes,False
2009,2010,82,MUSIC (Original Song),MUSIC (Original Song),Randy Newman,The Princess and the Frog,False
2009,2010,82,MUSIC (Original Song),MUSIC (Original Song),Randy Newman,The Princess and the Frog,False
2009,2010,82,BEST PICTURE,BEST PICTURE,Peter Jackson/Carolynne Cunningham,District 9,False
2009,2010,82,BEST PICTURE,BEST PICTURE,Lawrence Bender,Inglourious Basterds,False
2009,2010,82,BEST PICTURE,BEST PICTURE,Joel Coen/Ethan Coen,A Serious Man,False
2009,2010,82,BEST PICTURE,BEST PICTURE,Daniel Dubiecki/Ivan Reitman/Jason Reitman,Up in the Air,False
2009,2010,82,SOUND EDITING,SOUND EDITING,Wylie Stateman,Inglourious Basterds,False
2009,2010,82,SOUND EDITING,SOUND EDITING,Mark Stoeckinger/Alan Rankin,Star Trek,False
2009,2010,82,SOUND MIXING,SOUND MIXING,Michael Minkler/Tony Lamberti/Mark Ulano,Inglourious Basterds,False
2009,2010,82,SOUND MIXING,SOUND MIXING,Anna Behlmer/Andy Nelson/Peter J. Devlin,Star Trek,False
2009,2010,82,VISUAL EFFECTS,VISUAL EFFECTS,Dan Kaufman/Peter Muyzers/Robert Habros/Matt Aitken,District 9,False
2009,2010,82,VISUAL EFFECTS,VISUAL EFFECTS,Roger Guyett/Russell Earl/Paul Kavanagh/Burt Dalton,Star Trek,False
2009,2010,82,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Neill Blomkamp/Terri Tatchell,District 9,False
2009,2010,82,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Jason Reitman/Sheldon Turner,Up in the Air,False
2009,2010,82,WRITING (Original Screenplay),WRITING (Original Screenplay),Quentin Tarantino,Inglourious Basterds,False
2009,2010,82,WRITING (Original Screenplay),WRITING (Original Screenplay),Joel Coen/Ethan Coen,A Serious Man,False
2010,2011,83,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Jeff Bridges,True Grit,False
2010,2011,83,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Jesse Eisenberg,The Social Network,False
2010,2011,83,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Colin Firth,The King's Speech,True
2010,2011,83,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Christian Bale,The Fighter,True
2010,2011,83,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,John Hawkes,Winter's Bone,False
2010,2011,83,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Geoffrey Rush,The King's Speech,False
2010,2011,83,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Jennifer Lawrence,Winter's Bone,False
2010,2011,83,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Michelle Williams,Blue Valentine,False
2010,2011,83,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Amy Adams,The Fighter,False
2010,2011,83,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Helena Bonham Carter,The King's Speech,False
2010,2011,83,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Melissa Leo,The Fighter,True
2010,2011,83,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Hailee Steinfeld,True Grit,False
2010,2011,83,ART DIRECTION,ART DIRECTION,Guy Hendrix Dyas/Larry Dias/Doug Mowat,Inception,False
2010,2011,83,ART DIRECTION,ART DIRECTION,Eve Stewart/Judy Farr,The King's Speech,False
2010,2011,83,ART DIRECTION,ART DIRECTION,Jess Gonchor/Nancy Haigh,True Grit,False
2010,2011,83,CINEMATOGRAPHY,CINEMATOGRAPHY,Wally Pfister,Inception,True
2010,2011,83,CINEMATOGRAPHY,CINEMATOGRAPHY,Danny Cohen,The King's Speech,False
2010,2011,83,CINEMATOGRAPHY,CINEMATOGRAPHY,Jeff Cronenweth,The Social Network,False
2010,2011,83,CINEMATOGRAPHY,CINEMATOGRAPHY,Roger Deakins,True Grit,False
2010,2011,83,COSTUME DESIGN,COSTUME DESIGN,Jenny Beavan,The King's Speech,False
2010,2011,83,COSTUME DESIGN,COSTUME DESIGN,Mary Zophres,True Grit,False
2010,2011,83,DIRECTING,DIRECTING,David O. Russell,The Fighter,False
2010,2011,83,DIRECTING,DIRECTING,Tom Hooper,The King's Speech,True
2010,2011,83,DIRECTING,DIRECTING,David Fincher,The Social Network,False
2010,2011,83,DIRECTING,DIRECTING,Joel Coen/Ethan Coen,True Grit,False
2010,2011,83,FILM EDITING,FILM EDITING,Pamela Martin,The Fighter,False
2010,2011,83,FILM EDITING,FILM EDITING,Tariq Anwar,The King's Speech,False
2010,2011,83,FILM EDITING,FILM EDITING,Angus Wall/Kirk Baxter,The Social Network,True
2010,2011,83,MUSIC (Original Score),MUSIC (Original Score),Hans Zimmer,Inception,False
2010,2011,83,MUSIC (Original Score),MUSIC (Original Score),Alexandre Desplat,The King's Speech,False
2010,2011,83,MUSIC (Original Score),MUSIC (Original Score),Trent Reznor/Atticus Ross,The Social Network,True
2010,2011,83,BEST PICTURE,BEST PICTURE,David Hoberman/Todd Lieberman/Mark Wahlberg,The Fighter,False
2010,2011,83,BEST PICTURE,BEST PICTURE,Emma Thomas/Christopher Nolan,Inception,False
2010,2011,83,BEST PICTURE,BEST PICTURE,Iain Canning/Emile Sherman/Gareth Unwin,The King's Speech,True
2010,2011,83,BEST PICTURE,BEST PICTURE,Scott Rudin/Dana Brunetti/Michael De Luca/Ceán Chaffin,The Social Network,False
2010,2011,83,BEST PICTURE,BEST PICTURE,Scott Rudin/Ethan Coen/Joel Coen,True Grit,False
2010,2011,83,BEST PICTURE,BEST PICTURE,Anne Rosellini/Alix Madigan-Yorkin,Winter's Bone,False
2010,2011,83,SOUND EDITING,SOUND EDITING,Richard King,Inception,True
2010,2011,83,SOUND EDITING,SOUND EDITING,Skip Lievsay/Craig Berkey,True Grit,False
2010,2011,83,SOUND EDITING,SOUND EDITING,Mark P. Stoeckinger,Unstoppable,False
2010,2011,83,SOUND MIXING,SOUND MIXING,Lora Hirschberg/Gary A. Rizzo/Ed Novick,Inception,True
2010,2011,83,SOUND MIXING,SOUND MIXING,Paul Hamblin/Martin Jensen/John Midgley,The King's Speech,False
2010,2011,83,SOUND MIXING,SOUND MIXING,Ren Klyce/David Parker/Michael Semanick/Mark Weingarten,The Social Network,False
2010,2011,83,SOUND MIXING,SOUND MIXING,Skip Lievsay/Craig Berkey/Greg Orloff/Peter F. Kurland,True Grit,False
2010,2011,83,VISUAL EFFECTS,VISUAL EFFECTS,Paul Franklin/Chris Corbould/Andrew Lockley/Peter Bebb,Inception,True
2010,2011,83,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Aaron Sorkin,The Social Network,True
2010,2011,83,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Joel Coen/Ethan Coen,True Grit,False
2010,2011,83,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Debra Granik/Anne Rosellini,Winter's Bone,False
2010,2011,83,WRITING (Original Screenplay),WRITING (Original Screenplay),Scott Silver/Paul Tamasy/Eric Johnson/Keith Dorrington,The Fighter,False
2010,2011,83,WRITING (Original Screenplay),WRITING (Original Screenplay),Christopher Nolan,Inception,False
2010,2011,83,WRITING (Original Screenplay),WRITING (Original Screenplay),David Seidler,The King's Speech,True
2011,2012,84,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Jean Dujardin,The Artist,True
2011,2012,84,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Kenneth Branagh,My Week with Marilyn,False
2011,2012,84,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Nick Nolte,Warrior,False
2011,2012,84,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Viola Davis,The Help,False
2011,2012,84,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Rooney Mara,The Girl with the Dragon Tattoo,False
2011,2012,84,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Meryl Streep,The Iron Lady,True
2011,2012,84,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Michelle Williams,My Week with Marilyn,False
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Bérénice Bejo,The Artist,False
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Jessica Chastain,The Help,False
2011,2012,84,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,The Help,True
2011,2012,84,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Jennifer Yuh Nelson,Kung Fu Panda 2,False
2011,2012,84,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Chris Miller,Puss in Boots,False
2011,2012,84,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Gore Verbinski,Rango,True
2011,2012,84,ART DIRECTION,ART DIRECTION,Laurence Bennett/Robert Gould,The Artist,False
2011,2012,84,ART DIRECTION,ART DIRECTION,Dante Ferretti/Francesca Lo Schiavo,Hugo,True
2011,2012,84,ART DIRECTION,ART DIRECTION,Rick Carter/Lee Sandales,War Horse,False
2011,2012,84,CINEMATOGRAPHY,CINEMATOGRAPHY,Guillaume Schiffman,The Artist,False
2011,2012,84,CINEMATOGRAPHY,CINEMATOGRAPHY,Jeff Cronenweth,The Girl with the Dragon Tattoo,False
2011,2012,84,CINEMATOGRAPHY,CINEMATOGRAPHY,Robert Richardson,Hugo,True
2011,2012,84,CINEMATOGRAPHY,CINEMATOGRAPHY,Janusz Kaminski,War Horse,False
2011,2012,84,COSTUME DESIGN,COSTUME DESIGN,Mark Bridges,The Artist,True
2011,2012,84,COSTUME DESIGN,COSTUME DESIGN,Sandy Powell,Hugo,False
2011,2012,84,COSTUME DESIGN,COSTUME DESIGN,Arianne Phillips,W.E.,False
2011,2012,84,DIRECTING,DIRECTING,Michel Hazanavicius,The Artist,True
2011,2012,84,DIRECTING,DIRECTING,Martin Scorsese,Hugo,False
2011,2012,84,DOCUMENTARY (Feature),DOCUMENTARY (Feature),TJ Martin/Dan Lindsay/Rich Middlemas,Undefeated,True
2011,2012,84,FILM EDITING,FILM EDITING,Anne-Sophie Bion/Michel Hazanavicius,The Artist,False
2011,2012,84,FILM EDITING,FILM EDITING,Kirk Baxter/Angus Wall,The Girl with the Dragon Tattoo,True
2011,2012,84,FILM EDITING,FILM EDITING,Thelma Schoonmaker,Hugo,False
2011,2012,84,FOREIGN LANGUAGE FILM,INTERNATIONAL FEATURE FILM,Poland,In Darkness,False
2011,2012,84,FOREIGN LANGUAGE FILM,INTERNATIONAL FEATURE FILM,Iran,A Separation,True
2011,2012,84,MAKEUP,MAKEUP AND HAIRSTYLING,Mark Coulier/J. Roy Helland,The Iron Lady,True
2011,2012,84,MUSIC (Original Score),MUSIC (Original Score),John Williams,The Adventures of Tintin,False
2011,2012,84,MUSIC (Original Score),MUSIC (Original Score),Ludovic Bource,The Artist,True
2011,2012,84,MUSIC (Original Score),MUSIC (Original Score),Howard Shore,Hugo,False
2011,2012,84,MUSIC (Original Score),MUSIC (Original Score),John Williams,War Horse,False
2011,2012,84,MUSIC (Original Song),MUSIC (Original Song),Bret McKenzie,The Muppets,True
2011,2012,84,BEST PICTURE,BEST PICTURE,Thomas Langmann,The Artist,True
2011,2012,84,BEST PICTURE,BEST PICTURE,Brunson Green/Chris Columbus/Michael Barnathan,The Help,False
2011,2012,84,BEST PICTURE,BEST PICTURE,Graham King/Martin Scorsese,Hugo,False
2011,2012,84,BEST PICTURE,BEST PICTURE,Steven Spielberg/Kathleen Kennedy,War Horse,False
2011,2012,84,SOUND EDITING,SOUND EDITING,Lon Bender/Victor Ray Ennis,Drive,False
2011,2012,84,SOUND EDITING,SOUND EDITING,Ren Klyce,The Girl with the Dragon Tattoo,False
2011,2012,84,SOUND EDITING,SOUND EDITING,Philip Stockton/Eugene Gearty,Hugo,True
2011,2012,84,SOUND EDITING,SOUND EDITING,Richard Hymns/Gary Rydstrom,War Horse,False
2011,2012,84,SOUND MIXING,SOUND MIXING,David Parker/Michael Semanick/Ren Klyce/Bo Persson,The Girl with the Dragon Tattoo,False
2011,2012,84,SOUND MIXING,SOUND MIXING,Tom Fleischman/John Midgley,Hugo,True
2011,2012,84,SOUND MIXING,SOUND MIXING,Gary Rydstrom/Andy Nelson/Tom Johnson/Stuart Wilson,War Horse,False
2011,2012,84,VISUAL EFFECTS,VISUAL EFFECTS,Rob Legato/Joss Williams/Ben Grossmann/Alex Henning,Hugo,True
2011,2012,84,VISUAL EFFECTS,VISUAL EFFECTS,Erik Nash/John Rosengrant/Dan Taylor/Swen Gillberg,Real Steel,False
2011,2012,84,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),John Logan,Hugo,False
2011,2012,84,WRITING (Original Screenplay),WRITING (Original Screenplay),Michel Hazanavicius,The Artist,False
2011,2012,84,WRITING (Original Screenplay),WRITING (Original Screenplay),Asghar Farhadi,A Separation,False
2012,2013,85,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Bradley Cooper,Silver Linings Playbook,False
2012,2013,85,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,Lincoln,True
2012,2013,85,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Hugh Jackman,Les Misérables,False
2012,2013,85,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Joaquin Phoenix,The Master,False
2012,2013,85,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Robert De Niro,Silver Linings Playbook,False
2012,2013,85,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Philip Seymour Hoffman,The Master,False
2012,2013,85,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Tommy Lee Jones,Lincoln,False
2012,2013,85,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Django Unchained,True
2012,2013,85,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Jennifer Lawrence,Silver Linings Playbook,True
2012,2013,85,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Naomi Watts,The Impossible,False
2012,2013,85,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Amy Adams,The Master,False
2012,2013,85,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Sally Field,Lincoln,False
2012,2013,85,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Anne Hathaway,Les Misérables,True
2012,2013,85,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Jacki Weaver,Silver Linings Playbook,False
2012,2013,85,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Sam Fell/Chris Butler,ParaNorman,False
2012,2013,85,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Peter Lord,The Pirates! Band of Misfits,False
2012,2013,85,CINEMATOGRAPHY,CINEMATOGRAPHY,Robert Richardson,Django Unchained,False
2012,2013,85,CINEMATOGRAPHY,CINEMATOGRAPHY,Janusz Kaminski,Lincoln,False
2012,2013,85,COSTUME DESIGN,COSTUME DESIGN,Paco Delgado,Les Misérables,False
2012,2013,85,COSTUME DESIGN,COSTUME DESIGN,Joanna Johnston,Lincoln,False
2012,2013,85,COSTUME DESIGN,COSTUME DESIGN,Eiko Ishioka,Mirror Mirror,False
2012,2013,85,DIRECTING,DIRECTING,Steven Spielberg,Lincoln,False
2012,2013,85,DIRECTING,DIRECTING,David O. Russell,Silver Linings Playbook,False
2012,2013,85,DOCUMENTARY (Feature),DOCUMENTARY (Feature),Malik Bendjelloul/Simon Chinn,Searching for Sugar Man,True
2012,2013,85,DOCUMENTARY (Short Subject),DOCUMENTARY (Short Subject),Jon Alpert/Matthew O'Neill,Redemption,False
2012,2013,85,FILM EDITING,FILM EDITING,Michael Kahn,Lincoln,False
2012,2013,85,FILM EDITING,FILM EDITING,Jay Cassidy/Crispin Struthers,Silver Linings Playbook,False
2012,2013,85,FOREIGN LANGUAGE FILM,INTERNATIONAL FEATURE FILM,Norway,Kon-Tiki,False
2012,2013,85,MAKEUP AND HAIRSTYLING,MAKEUP AND HAIRSTYLING,Lisa Westcott/Julie Dartnell,Les Misérables,True
2012,2013,85,MUSIC (Original Score),MUSIC (Original Score),John Williams,Lincoln,False
2012,2013,85,MUSIC (Original Song),MUSIC (Original Song),Claude-Michel Schönberg/Herbert Kretzmer/Alain Boublil,Les Misérables,False
2012,2013,85,BEST PICTURE,BEST PICTURE,Stacey Sher/Reginald Hudlin/Pilar Savone,Django Unchained,False
2012,2013,85,BEST PICTURE,BEST PICTURE,Tim Bevan/Eric Fellner/Debra Hayward/Cameron Mackintosh,Les Misérables,False
2012,2013,85,BEST PICTURE,BEST PICTURE,Steven Spielberg/Kathleen Kennedy,Lincoln,False
2012,2013,85,BEST PICTURE,BEST PICTURE,Donna Gigliotti/Bruce Cohen/Jonathan Gordon,Silver Linings Playbook,False
2012,2013,85,PRODUCTION DESIGN,ART DIRECTION,Eve Stewart/Anna Lynch-Robinson,Les Misérables,False
2012,2013,85,PRODUCTION DESIGN,ART DIRECTION,Rick Carter/Jim Erickson,Lincoln,True
2012,2013,85,SOUND EDITING,SOUND EDITING,Wylie Stateman,Django Unchained,False
2012,2013,85,SOUND MIXING,SOUND MIXING,Andy Nelson/Mark Paterson/Simon Hayes,Les Misérables,True
2012,2013,85,SOUND MIXING,SOUND MIXING,Andy Nelson/Gary Rydstrom/Ronald Judkins,Lincoln,False
2012,2013,85,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),Tony Kushner,Lincoln,False
2012,2013,85,WRITING (Adapted Screenplay),WRITING (Adapted Screenplay),David O. Russell,Silver Linings Playbook,False
2012,2013,85,WRITING (Original Screenplay),WRITING (Original Screenplay),Quentin Tarantino,Django Unchained,True
2013,2014,86,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Matthew McConaughey,Dallas Buyers Club,True
2013,2014,86,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Jared Leto,Dallas Buyers Club,True
2013,2014,86,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Cate Blanchett,Blue Jasmine,True
2013,2014,86,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Judi Dench,Philomena,False
